"Symbol","Quantity","CostBasisPrice","FifoPnlUnrealized","OpenDateTime","ClientAccountID","MarkPrice","OpenPrice"
"ABT","4","85.940003","24.679332","20260508;100341","U***75819","92.11","85.940003"
"ABT","0.2","95.5056","-0.679153","20260416;125846","U***75819","92.11","95.5056"
"ABT","3","94.805293333","-8.086372","20260416;125846","U***75819","92.11","94.805293333"
"ABT","5","103.47","-56.80082","20260324;110816","U***75819","92.11","103.47"
"ACN","1","185.645","-47.125","20260409;125757","U***75819","138.52","185.645"
"ACN","1","184.62","-46.1","20260409;125757","U***75819","138.52","184.62"
"ACN","0.5","193.84","-27.66","20260324;111213","U***75819","138.52","193.84"
"ACN","2","194.51","-111.98","20260324;111202","U***75819","138.52","194.51"
"ADP","0.6","196.804366667","32.548112","20260409;154437","U***75819","251.05","196.804366667"
"ADP","1","195.16","55.89122","20260409;154437","U***75819","251.05","195.16"
"ADP","2","206.615","88.872439","20260324;111241","U***75819","251.05","206.615"
"ADP","0.5","206.17","22.44061","20260324;111241","U***75819","251.05","206.17"
"AOS","6","56.536669667","17.959982","20260602;102903","U***75819","59.53","56.536669667"
"AOS","7","59.847860143","-2.225021","20260504;105253","U***75819","59.53","59.847860143"
"AOS","7","65.927257143","-44.7808","20260326;134833","U***75819","59.53","65.927257143"
"CL","7","82.232857143","76.84","20260421;131534","U***75819","93.21","82.232857143"
"CLX","0.5","92.425104","1.312448","20260508;100413","U***75819","95.05","92.425104"
"CLX","3","91.720819667","9.987541","20260508;100413","U***75819","95.05","91.720819667"
"CLX","0.5","99.591656","-2.270828","20260423;125431","U***75819","95.05","99.591656"
"CLX","3","98.763990667","-11.141972","20260423;125431","U***75819","95.05","98.763990667"
"CLX","5","105.0973","-50.2365","20260324;112047","U***75819","95.05","105.0973"
"CRM","2","168.7673","4.9054","20260409;125732","U***75819","171.22","168.7673"
"CRM","3","185.993333333","-44.32","20260324;112559","U***75819","171.22","185.993333333"
"CUBE","12","36.278333333","51.98","20260325;145428","U***75819","40.61","36.278333333"
"DHI","4","136.69","48.64","20260326;154123","U***75819","148.85","136.69"
"DHR","2","178.46","43.4","20260423;125341","U***75819","200.16","178.46"
"DHR","3","188.353333333","35.42","20260326;154242","U***75819","200.16","188.353333333"
"EFX","3","172.963333333","-1.06","20260324;113048","U***75819","172.61","172.963333333"
"FDS","2","200.92","124.384","20260324;112706","U***75819","263.11","200.92"
"FDS","0.5","200.45","31.331","20260324;112706","U***75819","263.11","200.45"
"GILD","3","128.661636333","8.215091","20260602;112506","U***75819","131.4","128.661636333"
"GILD","0.2","128.330005","0.613999","20260602;112506","U***75819","131.4","128.330005"
"HD","1","310.600003","26.511997","20260602;102728","U***75819","337.11","310.600003"
"HD","0.5","331.06","3.026","20260324;110734","U***75819","337.11","331.06"
"HD","1","329.12","7.992","20260324;110734","U***75819","337.11","329.12"
"HSY","3","183.643336333","-25.210009","20260602;112714","U***75819","175.24","183.643336333"
"IBM","0.5","229.0111","30.609728","20260423;125407","U***75819","290.23","229.0111"
"IBM","1","230","60.230556","20260423;125402","U***75819","290.23","230"
